Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level
101,Female,29,New York,Gold,1120.2,14,4.6,TRUE,25,Satisfied
102,Male,34,Los Angeles,Silver,780.5,11,4.1,FALSE,18,Neutral
103,Female,43,Chicago,Bronze,510.75,9,3.4,TRUE,42,Unsatisfied
104,Male,30,San Francisco,Gold,1480.3,19,4.7,FALSE,12,Satisfied
105,Male,27,Miami,Silver,720.4,13,4,TRUE,55,Unsatisfied
106,Female,37,Houston,Bronze,440.8,8,3.1,FALSE,22,Neutral
107,Female,31,New York,Gold,1150.6,15,4.5,TRUE,28,Satisfied
108,Male,35,Los Angeles,Silver,800.9,12,4.2,FALSE,14,Neutral
109,Female,41,Chicago,Bronze,495.25,10,3.6,TRUE,40,Unsatisfied
110,Male,28,San Francisco,Gold,1520.1,21,4.8,FALSE,9,Satisfied
111,Male,32,Miami,Silver,690.3,11,3.8,TRUE,34,Unsatisfied
112,Female,36,Houston,Bronze,470.5,7,3.2,FALSE,20,Neutral
113,Female,30,New York,Gold,1200.8,16,4.3,TRUE,21,Satisfied
114,Male,33,Los Angeles,Silver,820.75,13,4.4,FALSE,15,Satisfied
115,Female,42,Chicago,Bronze,530.4,9,3.5,TRUE,38,Unsatisfied
116,Male,29,San Francisco,Gold,1360.2,18,4.9,FALSE,11,Satisfied
117,Male,26,Miami,Silver,700.6,12,3.7,TRUE,48,Unsatisfied
118,Female,38,Houston,Bronze,450.9,8,3,FALSE,25,Neutral
119,Female,32,New York,Gold,1170.3,14,4.7,TRUE,29,Satisfied
120,Male,34,Los Angeles,Silver,790.2,11,4,FALSE,16,Neutral
121,Female,43,Chicago,Bronze,505.75,10,3.3,TRUE,41,Unsatisfied
122,Male,30,San Francisco,Gold,1470.5,20,4.8,FALSE,13,Satisfied
123,Male,27,Miami,Silver,710.4,13,4.1,TRUE,54,Unsatisfied
124,Female,37,Houston,Bronze,430.8,7,3.4,FALSE,23,Neutral
125,Female,31,New York,Gold,1140.6,15,4.6,TRUE,27,Satisfied
126,Male,35,Los Angeles,Silver,810.9,12,4.3,FALSE,13,Neutral
127,Female,41,Chicago,Bronze,485.25,9,3.6,TRUE,39,Unsatisfied
128,Male,28,San Francisco,Gold,1500.1,21,4.9,FALSE,10,Satisfied
129,Male,32,Miami,Silver,670.3,10,3.8,TRUE,33,Unsatisfied
130,Female,36,Houston,Bronze,460.5,8,3.1,FALSE,19,Neutral
131,Female,30,New York,Gold,1190.8,16,4.5,TRUE,20,Satisfied
132,Male,33,Los Angeles,Silver,830.75,13,4.2,FALSE,14,Satisfied
133,Female,42,Chicago,Bronze,520.4,9,3.5,TRUE,37,Unsatisfied
134,Male,29,San Francisco,Gold,1370.2,18,4.7,FALSE,10,Satisfied
135,Male,26,Miami,Silver,690.6,12,3.9,TRUE,47,Unsatisfied
136,Female,38,Houston,Bronze,440.9,8,3.2,FALSE,24,Neutral
137,Female,32,New York,Gold,1160.3,14,4.4,TRUE,22,Satisfied
138,Male,34,Los Angeles,Silver,800.2,11,4.1,FALSE,17,Neutral
139,Female,43,Chicago,Bronze,500.75,10,3.3,TRUE,40,Unsatisfied
140,Male,30,San Francisco,Gold,1460.5,20,4.8,FALSE,12,Satisfied
141,Male,27,Miami,Silver,700.4,13,4,TRUE,53,Unsatisfied
142,Female,37,Houston,Bronze,420.8,7,3.1,FALSE,21,Neutral
143,Female,31,New York,Gold,1130.6,15,4.5,TRUE,26,Satisfied
144,Male,35,Los Angeles,Silver,820.9,12,4.3,FALSE,12,Neutral
145,Female,41,Chicago,Bronze,480.25,9,3.6,TRUE,38,Unsatisfied
146,Male,28,San Francisco,Gold,1490.1,21,4.9,FALSE,9,Satisfied
147,Male,32,Miami,Silver,680.3,10,3.8,TRUE,32,Unsatisfied
148,Female,36,Houston,Bronze,470.5,8,3,FALSE,18,Neutral
149,Female,30,New York,Gold,1180.8,16,4.7,TRUE,19,Satisfied
150,Male,34,Los Angeles,Silver,790.2,11,4,FALSE,15,Neutral
151,Female,43,Chicago,Bronze,505.75,10,3.3,TRUE,39,Unsatisfied
152,Male,30,San Francisco,Gold,1470.5,20,4.8,FALSE,13,Satisfied
153,Male,27,Miami,Silver,710.4,13,4.1,TRUE,54,Unsatisfied
154,Female,37,Houston,Bronze,430.8,7,3.4,FALSE,23,Neutral
155,Female,31,New York,Gold,1140.6,15,4.6,TRUE,27,Satisfied
156,Male,35,Los Angeles,Silver,810.9,12,4.3,FALSE,13,Neutral
157,Female,41,Chicago,Bronze,485.25,9,3.6,TRUE,39,Unsatisfied
158,Male,28,San Francisco,Gold,1500.1,21,4.9,FALSE,10,Satisfied
159,Male,32,Miami,Silver,670.3,10,3.8,TRUE,33,Unsatisfied
160,Female,36,Houston,Bronze,460.5,8,3.1,FALSE,19,Neutral
161,Female,30,New York,Gold,1190.8,16,4.5,TRUE,20,Satisfied
162,Male,33,Los Angeles,Silver,830.75,13,4.2,FALSE,14,Satisfied
163,Female,42,Chicago,Bronze,520.4,9,3.5,TRUE,37,Unsatisfied
164,Male,29,San Francisco,Gold,1370.2,18,4.7,FALSE,10,Satisfied
165,Male,26,Miami,Silver,690.6,12,3.9,TRUE,47,Unsatisfied
166,Female,38,Houston,Bronze,440.9,8,3.2,FALSE,24,Neutral
167,Female,32,New York,Gold,1160.3,14,4.4,TRUE,22,Satisfied
168,Male,34,Los Angeles,Silver,800.2,11,4.1,FALSE,17,Neutral
169,Female,43,Chicago,Bronze,500.75,10,3.3,TRUE,40,Unsatisfied
170,Male,30,San Francisco,Gold,1460.5,20,4.8,FALSE,12,Satisfied
171,Male,27,Miami,Silver,700.4,13,4,TRUE,53,Unsatisfied
172,Female,37,Houston,Bronze,420.8,7,3.1,FALSE,21,
173,Female,31,New York,Gold,1130.6,15,4.5,TRUE,26,Satisfied
174,Male,35,Los Angeles,Silver,820.9,12,4.3,FALSE,12,Neutral
175,Female,41,Chicago,Bronze,480.25,9,3.6,TRUE,38,Unsatisfied
176,Male,28,San Francisco,Gold,1490.1,21,4.9,FALSE,9,Satisfied
177,Male,32,Miami,Silver,680.3,10,3.8,TRUE,32,Unsatisfied
178,Female,36,Houston,Bronze,470.5,8,3,FALSE,18,Neutral
179,Female,30,New York,Gold,1180.8,16,4.7,TRUE,19,Satisfied
180,Male,34,Los Angeles,Silver,790.2,11,4,FALSE,15,Neutral
181,Female,43,Chicago,Bronze,505.75,10,3.3,TRUE,39,Unsatisfied
182,Male,30,San Francisco,Gold,1470.5,20,4.8,FALSE,13,Satisfied
183,Male,27,Miami,Silver,710.4,13,4.1,TRUE,54,Unsatisfied
184,Female,37,Houston,Bronze,430.8,7,3.4,FALSE,23,Neutral
185,Female,31,New York,Gold,1140.6,15,4.6,TRUE,27,Satisfied
186,Male,35,Los Angeles,Silver,810.9,12,4.3,FALSE,13,Neutral
187,Female,41,Chicago,Bronze,485.25,9,3.6,TRUE,39,Unsatisfied
188,Male,28,San Francisco,Gold,1500.1,21,4.9,FALSE,10,Satisfied
189,Male,32,Miami,Silver,670.3,10,3.8,TRUE,33,Unsatisfied
190,Female,36,Houston,Bronze,460.5,8,3.1,FALSE,19,Neutral
191,Female,30,New York,Gold,1190.8,16,4.5,TRUE,20,Satisfied
192,Male,33,Los Angeles,Silver,830.75,13,4.2,FALSE,14,Satisfied
193,Female,42,Chicago,Bronze,520.4,9,3.5,TRUE,37,Unsatisfied
194,Male,29,San Francisco,Gold,1370.2,18,4.7,FALSE,10,Satisfied
195,Male,26,Miami,Silver,690.6,12,3.9,TRUE,47,Unsatisfied
196,Female,38,Houston,Bronze,440.9,8,3.2,FALSE,24,Neutral
197,Female,32,New York,Gold,1160.3,14,4.4,TRUE,22,Satisfied
198,Male,34,Los Angeles,Silver,800.2,11,4.1,FALSE,17,Neutral
199,Female,43,Chicago,Bronze,500.75,10,3.3,TRUE,40,Unsatisfied
200,Male,30,San Francisco,Gold,1460.5,20,4.8,FALSE,12,Satisfied
201,Male,27,Miami,Silver,700.4,13,4,TRUE,53,Unsatisfied
202,Female,37,Houston,Bronze,420.8,7,3.1,FALSE,21,Neutral
203,Female,31,New York,Gold,1130.6,15,4.5,TRUE,26,Satisfied
204,Male,35,Los Angeles,Silver,820.9,12,4.3,FALSE,12,Neutral
205,Female,41,Chicago,Bronze,480.25,9,3.6,TRUE,38,Unsatisfied
206,Male,28,San Francisco,Gold,1490.1,21,4.9,FALSE,9,Satisfied
207,Male,32,Miami,Silver,680.3,10,3.8,TRUE,32,Unsatisfied
208,Female,36,Houston,Bronze,470.5,8,3,FALSE,18,Neutral
209,Female,30,New York,Gold,1180.8,16,4.7,TRUE,19,Satisfied
210,Male,34,Los Angeles,Silver,790.2,11,4,FALSE,15,Neutral
211,Female,43,Chicago,Bronze,505.75,10,3.3,TRUE,39,Unsatisfied
212,Male,30,San Francisco,Gold,1470.5,20,4.8,FALSE,13,Satisfied
213,Male,27,Miami,Silver,710.4,13,4.1,TRUE,54,Unsatisfied
214,Female,37,Houston,Bronze,430.8,7,3.4,FALSE,23,Neutral
215,Female,31,New York,Gold,1140.6,15,4.6,TRUE,27,Satisfied
216,Male,35,Los Angeles,Silver,810.9,12,4.3,FALSE,13,Neutral
217,Female,41,Chicago,Bronze,485.25,9,3.6,TRUE,39,Unsatisfied
218,Male,28,San Francisco,Gold,1500.1,21,4.9,FALSE,10,Satisfied
219,Male,32,Miami,Silver,670.3,10,3.8,TRUE,33,Unsatisfied
220,Female,36,Houston,Bronze,460.5,8,3.1,FALSE,19,Neutral
221,Female,30,New York,Gold,1190.8,16,4.5,TRUE,20,Satisfied
222,Male,33,Los Angeles,Silver,830.75,13,4.2,FALSE,14,Satisfied
